Filename,Text
KA_Learn_Aa.txt,"[slows down] [like a kindergarten teacher] The alligator gets an apple. [pause]
[slows down] [like a kindergarten teacher] The alligator drops the apple. [pause]
[slows down] [like a kindergarten teacher] The apple falls on the ant. [pause]
[slows down] [like a kindergarten teacher] The ant goes in an ambulance. [pause]"
KA_Learn_Bb.txt,"[slows down] [like a kindergarten teacher] The boy has a bat. [pause]
[slows down] [like a kindergarten teacher] He hits the ball with the bat. [pause]
[slows down] [like a kindergarten teacher] The ball hits the bell. [pause]
[slows down] [like a kindergarten teacher] The ball hits the bus! [pause]"
KA_Learn_Cc.txt,"[slows down] [like a kindergarten teacher] The cat sees a car. [pause]
[slows down] [like a kindergarten teacher] The boy cuts the car! [pause]
[slows down] [like a kindergarten teacher] The car is a cake. [pause]
[slows down] [like a kindergarten teacher] The cat likes the cake. [pause]"
KA_Learn_Dd.txt,"[slows down] [like a kindergarten teacher] The dog goes out the door. [pause]
[slows down] [like a kindergarten teacher] The dog digs a hole. [pause]
[slows down] [like a kindergarten teacher] The dog gets a duck. [pause]
[slows down] [like a kindergarten teacher] The cat takes the duck. [pause]"
KA_Learn_Ee.txt,"[slows down] [like a kindergarten teacher] An elf finds a very big egg. [pause]
[slows down] [like a kindergarten teacher] The elf takes the egg home. [pause]
[slows down] [like a kindergarten teacher] The egg is empty. [pause]
[slows down] [like a kindergarten teacher] An elephant was in the egg! [pause]"
KA_Learn_Ff.txt,"[slows down] [like a kindergarten teacher] I see a fish. [pause]
[slows down] [like a kindergarten teacher] The fish is at the fish farm. [pause]
[slows down] [like a kindergarten teacher] I see the big fin. [pause]
[slows down] [like a kindergarten teacher] The fish is fat. [pause]"
KA_Learn_Gg.txt,"[slows down] [like a kindergarten teacher] The girl sits on the grass. [pause]
[slows down] [like a kindergarten teacher] A goat comes to the girl. [pause]
[slows down] [like a kindergarten teacher] The girl and the goat play a game. [pause]
[slows down] [like a kindergarten teacher] The girl gives a gift to the goat. [pause]"
KA_Learn_Hh.txt,"[slows down] [like a kindergarten teacher] The sun is hot. [pause]
[slows down] [like a kindergarten teacher] The hen wants a hat. [pause]
[slows down] [like a kindergarten teacher] The hen puts on a hat. [pause]
[slows down] [like a kindergarten teacher] The hen hits the hippo. [pause]"
KA_Learn_Ii.txt,"[slows down] [like a kindergarten teacher] An insect lives in an igloo. [pause]
[slows down] [like a kindergarten teacher] The insect sees a bottle. [pause]
[slows down] [like a kindergarten teacher] It is not water. [pause]
[slows down] [like a kindergarten teacher] It is ink! [pause]
[slows down] [like a kindergarten teacher] The insect feels ill. [pause]"
KA_Learn_Jj.txt,"[slows down] [like a kindergarten teacher] Joe makes apple jam. [pause]
[slows down] [like a kindergarten teacher] Jenny makes banana jelly. [pause]
[slows down] [like a kindergarten teacher] Joe and Jenny put them in jars. [pause]
[slows down] [like a kindergarten teacher] They jump out for a picnic. [pause]"
KA_Learn_Kk.txt,"[slows down] [like a kindergarten teacher] The koala flies a kite. [pause]
[slows down] [like a kindergarten teacher] The kite is too big. [pause]
[slows down] [like a kindergarten teacher] The kite pulls the koala to the king. [pause]
[slows down] [like a kindergarten teacher] The koala kicks the king. [pause]"
KA_Learn_Ll.txt,"[slows down] [like a kindergarten teacher] A lion jumps on a lamp. [pause]
[slows down] [like a kindergarten teacher] The lamp falls down. [pause]
[slows down] [like a kindergarten teacher] The lion hurts its leg. [pause]
[slows down] [like a kindergarten teacher] The lion licks its leg. [pause]"
KA_Learn_Mm.txt,"[slows down] [like a kindergarten teacher] The monkey has milk. [pause]
[slows down] [like a kindergarten teacher] The mouse has a mug. [pause]
[slows down] [like a kindergarten teacher] The monkey gives milk to the mouse. [pause]
[slows down] [like a kindergarten teacher] They drink the milk together. [pause]"
KA_Learn_Nn.txt,"[slows down] [like a kindergarten teacher] The mother bird has a nest. [pause]
[slows down] [like a kindergarten teacher] The baby birds take a nap. [pause]
[slows down] [like a kindergarten teacher] The boy hits the nest with the net. [pause]
[slows down] [like a kindergarten teacher] The mother bird hits the boy's nose. [pause]"
